itemType,reviewId,productId,productUrl,productName,authorId,submissionTime,rating,text,title,badges,negativeFeedback,positiveFeedback,recommended,userNickname,syndicationSource,externalSource,photos
Review,330887748,17235783,https://www.walmart.com/ip/Optimum-Nutrition-Micronized-Creatine-Powder-Unflavored-60-Servings/17235783?classType=VARIANT&athbdg=L1103,"Optimum Nutrition, Micronized Creatine Powder, Unflavored 60 Servings",hes9ovb0q9ddmu10brh6dviah,2025-01-02,5,"Got this for my friend who has been lifting for a while without supplements. Got it in the pack with three products for him but I gotta say, I was so happy to see this item was in the pack. So so great. Worth the money; if you put in the work, you will def see the results you want to see out of this product. My husband and I love this one. And so does my friend. He couldn't be happier!",Worth it! 3/3,"['VerifiedPurchaser', 'VerifiedPurchaser']",0,1,True,Friend of a Friend,"{'contentLink': None, 'logoImageUrl': None, 'name': 'optimumnutrition.com'}",bazaarvoice,[]
Review,379363285,17235783,https://www.walmart.com/ip/Optimum-Nutrition-Micronized-Creatine-Powder-Unflavored-60-Servings/17235783?classType=VARIANT&athbdg=L1103,"Optimum Nutrition, Micronized Creatine Powder, Unflavored 60 Servings",4f67ff61f4d09fd1a38dc98d6235f840,2025-03-20,5,"works great.  like all creatines, youll gain some water weight.  but my lifts and recovery are awesome when on creatine.  works great. i sip mine throughout the day, not a pre post kind of thing.  one small scoop.  i ordered a simple teaspoon just for my scoop and keep it in the container.  works great if your actually lifting.",works good.  i mix mine with some bcaa's,['VerifiedPurchaser'],0,0,,pauli18,,bazaarvoice,[]
Review,378448720,17235783,https://www.walmart.com/ip/Optimum-Nutrition-Micronized-Creatine-Powder-Unflavored-60-Servings/17235783?classType=VARIANT&athbdg=L1103,"Optimum Nutrition, Micronized Creatine Powder, Unflavored 60 Servings",8732dc3fa39a2b349c0ec5a14373dc7157c6cd2da29485e69f73c38591c09da6f7d1ad700d1f77e7e24b132a1316df15,2025-03-11,5,"Very easy to dosage with the included spoon. Sounds strange but container size is very good. Product itself is not fancy. Thousands of competitors out there, BUT even my hand fits into the container so you can easily use it to the “last drop” without waste or filling into new container. Price is as well relatively good","Convenient size, good product",['VerifiedPurchaser'],0,0,,Frank,,bazaarvoice,[]
Review,380229108,17235783,https://www.walmart.com/ip/Optimum-Nutrition-Micronized-Creatine-Powder-Unflavored-60-Servings/17235783?classType=VARIANT&athbdg=L1103,"Optimum Nutrition, Micronized Creatine Powder, Unflavored 60 Servings",6fba0b1c321a69b873b9a5df4e197083e69d337ce97a92d97bf7b3f72fb21d7ca0b8d938bd15108d2781539eebdb63a6,2025-03-28,5,Truly unflavored. No after taste. Been taking for over a month now. Results are better than expected. Follow recommended usage and you will see results in a little over a week. Great product,True to taste!!!,['VerifiedPurchaser'],0,0,,maria,,bazaarvoice,[]
Review,364853105,17235783,https://www.walmart.com/ip/Optimum-Nutrition-Micronized-Creatine-Powder-Unflavored-60-Servings/17235783?classType=VARIANT&athbdg=L1103,"Optimum Nutrition, Micronized Creatine Powder, Unflavored 60 Servings",2f1877b03102ea0ee7d302e0ba586fb0a1f4f47948cf0ce4516c581f8aaccba2bff27bf9e6de41a1131d47cf01a241ae,2024-11-25,5,"I recently started using the Optimum Nutrition Micronized Creatine Powder in Unflavored, and it has made a noticeable difference in my workouts! It mixes well with my shakes and doesn't alter the taste, which is a huge plus. I've experienced improved strength and endurance during my training sessions. If you're serious about your fitness goals, I highly recommend adding this creatine to your routine!",Mixes well with my shakes!,['VerifiedPurchaser'],0,0,,Terry,,bazaarvoice,[]
Review,36068060,17235783,https://www.walmart.com/ip/Optimum-Nutrition-Micronized-Creatine-Powder-Unflavored-60-Servings/17235783?classType=VARIANT&athbdg=L1103,"Optimum Nutrition, Micronized Creatine Powder, Unflavored 60 Servings",3020fcb84cae64dd57b02daecef840b7,2014-09-04,5,"This is some great, unadulterated, pure creatine unlike the Body Fortress stuff (full of sugar and other fluff ingredients) that Walmart carries in their stores. Walmart should put this product on their shelves for the real weight lifters, body builders, and cross-fit trainers so we don't have to order it online.",Superior Creatine Product,['VerifiedPurchaser'],0,8,True,TheAnalyst9,,bazaarvoice,[]
Review,360719359,17235783,https://www.walmart.com/ip/Optimum-Nutrition-Micronized-Creatine-Powder-Unflavored-60-Servings/17235783?classType=VARIANT&athbdg=L1103,"Optimum Nutrition, Micronized Creatine Powder, Unflavored 60 Servings",1a935b96ae0fa4786971cacd3917630e,2024-10-19,5,"Hard to review something that may or may not work over time.  But one thing a buyer should know is that it does not come with a measuring scoop like most powdered supplements provide.  The dose is one heaping teaspoon.  Is that a measuring set teaspoon or the teaspoon in your silverware drawer?  That is a big problem, isn't it?",Needs a scoop,['VerifiedPurchaser'],0,0,,CofCO,,bazaarvoice,[]
Review,379776803,17235783,https://www.walmart.com/ip/Optimum-Nutrition-Micronized-Creatine-Powder-Unflavored-60-Servings/17235783?classType=VARIANT&athbdg=L1103,"Optimum Nutrition, Micronized Creatine Powder, Unflavored 60 Servings",9c23a63043604ad61c5b389212a06b732c0a7c7a15927aa610e98fc665a7ff3d3499b3cc23463b16adbc0c69ee68937e,2025-03-24,5,"Simple, be aware it doesnt have a scoop. Its 5g serving by volume so you will need to learn what scoop size that is.",No scoop but good,['VerifiedPurchaser'],0,0,,Thomas,,bazaarvoice,[]
Review,383239964,17235783,https://www.walmart.com/ip/Optimum-Nutrition-Micronized-Creatine-Powder-Unflavored-60-Servings/17235783?classType=VARIANT&athbdg=L1103,"Optimum Nutrition, Micronized Creatine Powder, Unflavored 60 Servings",121665553b39db925e1e49e169c7618babb98cf8eb35b18d979e3090b931464fe3cba38267b20932e15618825e949f42,2025-04-25,5,"nice white power,gross like sea salt, no taste, I took the spoon with milk,
shipping was with food items delivered.
very good price",very good product,['VerifiedPurchaser'],0,0,,criss,,bazaarvoice,[]
Review,372298443,17235783,https://www.walmart.com/ip/Optimum-Nutrition-Micronized-Creatine-Powder-Unflavored-60-Servings/17235783?classType=VARIANT&athbdg=L1103,"Optimum Nutrition, Micronized Creatine Powder, Unflavored 60 Servings",2da2441978929c3b1b54b32a55872f8383d7f023618891df5bf3b6a7288c076cb72f3cf03e6c58a88db8991cda9a7283,2025-01-15,5,"Love how the unflavored is really unflavored and not have that taste of like sand and too much of that texture, would recommend",,['VerifiedPurchaser'],0,0,,Ruben,,bazaarvoice,[]
Review,374040951,17235783,https://www.walmart.com/ip/Optimum-Nutrition-Micronized-Creatine-Powder-Unflavored-60-Servings/17235783?classType=VARIANT&athbdg=L1103,"Optimum Nutrition, Micronized Creatine Powder, Unflavored 60 Servings",691166ca3eed4c6acf271a0910ee7e3aba223ffca36b9b73129bba6e6d0cf42fc1da3372b560168373d59c9d7c7eff8c,2025-01-30,5,"real review! 
i'm a beginner gym bro and since i've started putting this into my protein shakes i've noticed a hugeeeeeeeee difference!!!!",,['VerifiedPurchaser'],0,0,,Dhameer,,bazaarvoice,[]
